B1,B2,B3,B4,B5,B6,B7,Y
-0.500382555,-0.51653944,-0.57277628,-0.586081327,-0.616448552,-0.612055723,-0.482741202,1
-0.550879878,-0.514358415,-0.540431267,-0.540764718,-0.51609502,-0.539382383,-0.392490318,1
-0.498852334,-0.501272265,-0.574123989,-0.587699777,-0.631954351,-0.630488903,-0.450412527,1
-0.468247896,-0.482370047,-0.576819407,-0.594173579,-0.660485021,-0.6335611,-0.457147668,1
-0.498087223,-0.529625591,-0.621293801,-0.630993324,-0.690504249,-0.654960538,-0.492843913,1
-0.521040551,-0.555797892,-0.633423181,-0.61157192,-0.627488681,-0.59330473,-0.430375484,1
-0.438408569,-0.464194838,-0.57277628,-0.590936678,-0.6732618,-0.642565814,-0.450412527,1
-0.462127008,-0.495456198,-0.59703504,-0.620473397,-0.689635924,-0.679961862,-0.509513386,1
-0.517980107,-0.523082515,-0.642857143,-0.635444062,-0.680704584,-0.683881562,-0.519447718,1
-0.518745218,-0.540530716,-0.67115903,-0.673882258,-0.70042796,-0.705175062,-0.575854521,1
-0.444529457,-0.471464922,-0.585579515,-0.592555128,-0.680208398,-0.647333016,-0.458999832,1
-0.470543229,-0.491821156,-0.605795148,-0.621282622,-0.690876388,-0.683669686,-0.521299882,1
-0.474368783,-0.505634315,-0.612533693,-0.62411491,-0.662097625,-0.666401822,-0.505135545,1
-0.436113236,-0.442384587,-0.525606469,-0.55047542,-0.660236929,-0.640447058,-0.463882809,1
-0.462892119,-0.468556888,-0.568059299,-0.569087599,-0.654778887,-0.640976747,-0.470449571,1
-0.382555471,-0.391494002,-0.53032345,-0.546429294,-0.678347702,-0.573388421,-0.304428355,1
-0.402448355,-0.43220647,-0.534366577,-0.535504754,-0.665446877,-0.552518672,-0.279171578,1
-0.401683244,-0.432933479,-0.5606469,-0.576370625,-0.70216461,-0.612903226,-0.361508671,1
-0.380260138,-0.385677935,-0.509433962,-0.531054016,-0.666687341,-0.573388421,-0.326149183,1
-0.372609028,-0.400945111,-0.52425876,-0.541978556,-0.684177883,-0.604004449,-0.359656508,1
-0.407804132,-0.429298437,-0.541105121,-0.550880032,-0.67016064,-0.564171831,-0.301902677,1
-0.362662586,-0.376953835,-0.523584906,-0.524175602,-0.662469764,-0.578049685,-0.329685132,1
-0.387146136,-0.41475827,-0.553908356,-0.56139996,-0.674750357,-0.571375603,-0.312005388,1
-0.373374139,-0.390039985,-0.502695418,-0.526198665,-0.667555666,-0.588113777,-0.340798114,1
-0.395562357,-0.399491094,-0.514824798,-0.530244791,-0.660857161,-0.576990307,-0.3401246,1
-0.37413925,-0.388585969,-0.504716981,-0.515274125,-0.660609068,-0.562900577,-0.30729079,1
