X0,X1,Y
-0.85,-0.2,-1
-0.65,-0.314285714,-1
-1,-0.485714286,-1
-0.35,-0.428571429,-1
-0.25,-0.6,-1
-0.6,-0.2,-1
0.7,0.885714286,-1
-0.6,-0.485714286,-1
-0.75,-0.542857143,-1
-0.9,-0.371428571,-1
-0.3,-0.314285714,-1
-0.95,-0.828571429,-1
-0.7,-0.771428571,-1
0.5,0.6,-1
-0.45,-1,-1
-0.65,-0.885714286,-1
-0.8,-0.714285714,-1
-0.8,-0.942857143,-1
-0.35,-0.828571429,-1
-0.45,-0.257142857,-1
0.55,0.314285714,1
0.25,0.2,1
0.3,0.485714286,1
0.5,0.371428571,1
0.3,0.314285714,1
0.5,0.657142857,1
-0.65,-0.771428571,1
0.9,1,1
0.75,0.714285714,1
-0.8,-0.657142857,1
0.4,0.942857143,1
0.6,0.485714286,1
0.3,0.542857143,1
0.35,0.771428571,1
0.65,0.828571429,1
0.8,0.371428571,1
0.7,0.142857143,1
0.85,0.885714286,1
1,0.828571429,1
0.8,0.257142857,1
