X0,X1,Y
0.075,0.4,0
0.175,0.342857143,0
0,0.257142857,0
0.325,0.285714286,0
0.375,0.2,0
0.2,0.4,0
0.85,0.942857143,0
0.2,0.257142857,0
0.125,0.228571429,0
0.05,0.314285714,0
0.35,0.342857143,0
0.025,0.085714286,0
0.15,0.114285714,0
0.75,0.8,0
0.275,0,0
0.175,0.057142857,0
0.1,0.142857143,0
0.1,0.028571429,0
0.325,0.085714286,0
0.275,0.371428571,0
0.775,0.657142857,1
0.625,0.6,1
0.65,0.742857143,1
0.75,0.685714286,1
0.65,0.657142857,1
0.75,0.828571429,1
0.175,0.114285714,1
0.95,1,1
0.875,0.857142857,1
0.1,0.171428571,1
0.7,0.971428571,1
0.8,0.742857143,1
0.65,0.771428571,1
0.675,0.885714286,1
0.825,0.914285714,1
0.9,0.685714286,1
0.85,0.571428571,1
0.925,0.942857143,1
1,0.914285714,1
0.9,0.628571429,1
0.075,0.4,123
0.175,0.342857143,123
0,0.257142857,123
0.325,0.285714286,123
0.375,0.2,123
0.2,0.4,123
0.85,0.942857143,123
0.2,0.257142857,123
0.125,0.228571429,123
0.05,0.314285714,123
0.35,0.342857143,123
0.025,0.085714286,123
0.15,0.114285714,123
0.75,0.8,123
0.275,0,123
0.175,0.057142857,123
0.1,0.142857143,123
0.1,0.028571429,123
0.325,0.085714286,123
0.275,0.371428571,123
0.775,0.657142857,123
0.625,0.6,123
0.65,0.742857143,123
0.75,0.685714286,123
0.65,0.657142857,123
0.75,0.828571429,123
0.175,0.114285714,123
0.95,1,123
0.875,0.857142857,123
0.1,0.171428571,123
0.7,0.971428571,123
0.8,0.742857143,123
0.65,0.771428571,123
0.675,0.885714286,123
0.825,0.914285714,123
0.9,0.685714286,123
0.85,0.571428571,123
0.925,0.942857143,123
1,0.914285714,123
0.9,0.628571429,123
