X0,X1,Y
0.05,0.05,0
0.35,0.35,0
0.1,0.075,0
0.25,0.4,0
0.125,0.15,0
0.3,0.2,0
0.075,0.3,0
0.05,0.25,0
0.15,0.5,0
0.475,0.25,0
0.25,0.3,0
0.175,0.225,0
0.075,0.275,0
0.375,0.45,0
0.325,0.25,0
0.2,0.325,0
0.225,0.225,0
0.125,0.125,0
0.25,0.175,0
0.275,0.275,0
0.25,0.25,1
0.6,0.6,1
0.275,0.375,1
0.35,0.45,1
0.325,0.5,1
0.525,0.4,1
0.15,0.3,1
0.325,0.325,1
0.425,0.1,1
0.375,0.3,1
0.5,0.5,1
0.45,0.375,1
0.2,0.1,1
0.4,0.275,1
0.475,0.325,1
0.55,0.6,1
0.225,0.375,1
0.3,0.325,1
0.4,0.4,1
0.475,0.35,1
